Account Id,Account Name,Account Owned By,Account Type,Address,Billing City,Billing Region,Billing State,Close Date,Closed,Created Date,Industry,Opportunity ID,Opportunity Name,Opportunity Type,Product Name,Stage,Won,Zip Code,Amount,Discount Granted,Opportunity Quantity,Unit Price
001i0000008rCwFAAU,Integer Tincidunt Inc.,Jennifer Gonzales,Gold,"413 Main St, Ferdinand, ID 83526",Ferdinand,West,Idaho,2/26/2011,Vrai,2/28/2011,Agriculture,006i0000001vtADAAY,Integer Tincidunt Inc. vtADAAY  MOL Standard Services,Services,MOL Standard,Closed Lost,Faux,83526,24255,23.00%,45,700
001i0000008rFtRAAU,Ac Turpis Egestas Limited,Jennifer Gonzales,Gold,"157 2nd Ave, Twin Falls, ID 83301",Twin Falls,West,Idaho,2/26/2011,Vrai,2/28/2011,Transportation,006i0000001vtA6AAI,Ac Turpis Egestas Limited vtA6AAI  MOL Standard Services,Services,MOL Standard,Closed Won,Vrai,83301,5600,20.00%,10,700
001i0000008rF97AAE,Egestas Aliquam LLP,Jennifer Gonzales,Gold,"1710 North 2nd St, Coeur D Alene, ID 83814",Coeur D Alene,West,Idaho,3/5/2011,Vrai,3/7/2011,Retail,006i0000001vtARAAY,Egestas Aliquam LLP vtARAAY  MOL Standard Services,Services,MOL Standard,Closed Lost,Faux,83814,26460,10.00%,42,700
001i0000008rFftAAE,Nullam Ltd,Jennifer Gonzales,Gold,"6424 Riverside St, Bonners Ferry, ID 83805",Bonners Ferry,West,Idaho,3/5/2011,Vrai,3/7/2011,Transportation,006i0000001vtASAAY,Nullam Ltd vtASAAY  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,83805,6952,21.00%,11,800
001i0000008rCcWAAU,Multimodous Ventures,Jesse Alexander,Gold,"7700 West Madison, Forest Park, IL 60130",Forest Park,Midwest,Illinois,3/8/2011,Vrai,2/28/2011,Business Services,006i0000001vtA3AAI,Multimodous Ventures vtA3AAI  MOL Standard Software,Software,MOL Standard,Closed Lost,Faux,60130,664,17.00%,1,800
001i0000008rCLtAAM,Erat Etiam Incorporated,Deepak Ramirez,Gold,"2325 Endicott St, Saint Paul, MN 55114",Saint Paul,Midwest,Minnesota,3/9/2011,Vrai,3/11/2011,Insurance,006i0000001vtAZAAY,Erat Etiam Incorporated vtAZAAY  MOL Standard Services,Services,MOL Standard,Closed Won,Vrai,55114,2688,4.00%,4,700
001i0000008rBf9AAE,Risus LLP,Deepak Ramirez,Gold,"233 W Hwy 61, Grand Marais, MN 55604",Grand Marais,Midwest,Minnesota,3/11/2011,Vrai,3/13/2011,Healthcare,006i0000001vtAiAAI,Risus LLP vtAiAAI  MOL Standard Software,Maintenance,MOL Mobile,Closed Won,Vrai,55604,961.2,11.00%,9,120
001i0000008rFAhAAM,Quisque Foundation,Jesse Alexander,Gold,"2710 Cherokee Street, Saint Louis, MO 63118",Saint Louis,Midwest,Missouri,3/11/2011,Vrai,3/13/2011,Oil & Gas,006i0000001vtAhAAI,Quisque Foundation vtAhAAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,63118,11664,19.00%,18,800
001i0000008rFBVAA2,Pede Nunc Industries,Jesse Alexander,Gold,"422 Nth Main St, Hannibal, MO 63401",Hannibal,Midwest,Missouri,3/23/2011,Vrai,3/25/2011,Services,006i0000001vtBBAAY,Pede Nunc Industries vtBBAAY  MOL Standard Maintenance,Maintenance,MOL Standard,Closed Won,Vrai,63401,1857.6,14.00%,18,120
001i0000008rFxTAAU,Egestas Duis Ac PC,Jennifer Gonzales,Gold,"117 S Central Ave, Sidney, MT 59270",Sidney,West,Montana,3/26/2011,Vrai,3/28/2011,Technology,006i0000001vtBTAAY,Egestas Duis Ac PC vtBTAAY  MOL Standard Maintenance,Maintenance,MOL Standard,Closed Won,Vrai,59270,1003.2,24.00%,11,120
001i0000008rEnoAAE,Libero Lacus Ltd,Jennifer Gonzales,Gold,"518 1st Ave, Hamilton, MT 59840",Hamilton,West,Montana,3/27/2011,Vrai,3/29/2011,Financial Services,006i0000001vtBqAAI,Libero Lacus Ltd vtBqAAI  MOL Standard Software,Software,MOL Standard,Closed Lost,Faux,59840,11424,16.00%,17,800
001i0000008rFxKAAU,At Incorporated,Joe Ford,Gold,"454 Carolina Wy, Highlands, NC 28741",Highlands,Southeast,North Carolina,3/27/2011,Vrai,3/29/2011,Transportation,006i0000001vtBcAAI,At Incorporated vtBcAAI  MOL Standard Services,Services,MOL Standard,Closed Won,Vrai,28741,13363,17.00%,23,700
001i0000008rFWHAA2,Vestibulum Ltd,Deepak Ramirez,Gold,"7474 Towne Ctr Pkwy, Papillion, NE 68046",Papillion,Midwest,Nebraska,3/27/2011,Vrai,3/29/2011,Business Services,006i0000001vtBgAAI,Vestibulum Ltd vtBgAAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,68046,6000,25.00%,10,800
001i0000008rBhvAAE,Magna Nec Quam Foundation,Joe Ford,Gold,"4821 Grove Barton R, Raleigh, NC 27613",Raleigh,Southeast,North Carolina,3/27/2011,Vrai,3/29/2011,Hospitality,006i0000001vtBmAAI,Magna Nec Quam Foundation vtBmAAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,27613,22176,1.00%,28,800
001i0000008rG3bAAE,Ante Maecenas Ltd,Tara Wang,Gold,"1800 4th St NW, Albuquerque, NM 87102",Albuquerque,Southwest,New Mexico,3/28/2011,Vrai,3/30/2011,Hospitality,006i0000001vtCHAAY,Ante Maecenas Ltd vtCHAAY  MOL Standard Services,Services,MOL Standard,Closed Lost,Faux,87102,10234,14.00%,17,700
001i0000008rG6VAAU,Global Phone Networks(GPN),Fred Jenkins,Gold,"110 N Magnolia Ave, El Cajon, CA 92020",El Cajon,West,California,3/28/2011,Vrai,3/27/2011,Technology,006i0000001vtBJAAY,Global Phone Networks(GPN) vtBJAAY  MOL Standard Software,Software,MOL Standard,Closed Lost,Faux,92020,71280,10.00%,99,800
001i0000008rBMxAAM,Tellus LLP,Greg Powell,Platinum,"2415 NH Route 16, West Ossipee, NH 03890",West Ossipee,Northeast,New Hampshire,3/28/2011,Vrai,3/30/2011,Healthcare,006i0000001vtCEAAY,Tellus LLP vtCEAAY  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,3890,25456,14.00%,37,800
001i0000008rEVFAA2,Enim PC,Julie Owens,Gold,"97 Nassau Ave, Brooklyn, NY 11222",Brooklyn,Northeast,New York,4/2/2011,Vrai,3/29/2011,Healthcare,006i0000001vtBiAAI,Enim PC vtBiAAI  MOL Standard Maintenance,Maintenance,MOL Standard,Closed Lost,Faux,11222,1932,30.00%,23,120
001i0000008rBhvAAE,Magna Nec Quam Foundation,Joe Ford,Gold,"4821 Grove Barton R, Raleigh, NC 27613",Raleigh,Southeast,North Carolina,4/2/2011,Vrai,4/2/2011,Hospitality,006i0000001vtCRAAY,Magna Nec Quam Foundation vtCRAAY  MOL Standard Services,Services,MOL Standard,Closed Lost,Faux,27613,623,11.00%,1,700
001i0000008rFuqAAE,Sample Company,Julie Owens,Gold,"411 Route 3, Plattsburgh, NY 12901",Plattsburgh,Northeast,New York,4/4/2011,Vrai,4/4/2011,Business Services,006i0000001vtCTAAY,Sample Company vtCTAAY  MOL Standard Software,Software,MOL Standard,Closed Lost,Faux,12901,6192,14.00%,9,800
001i0000008rEKQAA2,Pretium Neque Morbi Inc.,Julie Owens,Gold,"175 Main St, Oneonta, NY 13820",Oneonta,Northeast,New York,4/7/2011,Vrai,3/30/2011,Manufacturing,006i0000001vtC0AAI,Pretium Neque Morbi Inc. vtC0AAI  MOL Standard Services,Services,MOL Standard,Closed Lost,Faux,13820,595,15.00%,1,700
001i0000008rG6VAAU,Global Phone Networks(GPN),Fred Jenkins,Gold,"110 N Magnolia Ave, El Cajon, CA 92020",El Cajon,West,California,4/20/2011,Vrai,4/17/2011,Technology,006i0000001vtChAAI,Global Phone Networks(GPN) vtChAAI  MOL Premium Software,Software,MOL Premium,Closed Won,Vrai,92020,10032,24.00%,11,1200
001i0000008rDgtAAE,Sollicitudin A Malesuada Limited,Julie Owens,Gold,"73 Hamburg St, Buffalo, NY 14204",Buffalo,Northeast,New York,5/1/2011,Vrai,5/3/2011,Financial Services,006i0000001vtDJAAY,Sollicitudin A Malesuada Limited vtDJAAY  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,14204,6120,15.00%,9,800
001i0000008rFxXAAU,Gadgetron,Julie Owens,Gold,"1 Main St, Brockport, NY 14420",Brockport,Northeast,New York,5/2/2011,Vrai,4/26/2011,Distribution,006i0000001vtD7AAI,Gadgetron vtD7AAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,14420,1440,10.00%,2,800
001i0000008rBlhAAE,Venenatis A Limited,Julie Owens,Gold,"401 Lakeshore Dr, Canandaigua, NY 14424",Canandaigua,Northeast,New York,5/8/2011,Vrai,5/10/2011,Entertainment,006i0000001vtDWAAY,Venenatis A Limited vtDWAAY  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,14424,9048,13.00%,13,800
001i0000008rG6VAAU,Global Phone Networks(GPN),Fred Jenkins,Gold,"110 N Magnolia Ave, El Cajon, CA 92020",El Cajon,West,California,5/11/2011,Vrai,5/8/2011,Technology,006i0000001vtDRAAY,Global Phone Networks(GPN) vtDRAAY  MOL Standard Services,Services,MOL Standard,Closed Won,Vrai,92020,5880,16.00%,10,700
001i0000008rCXuAAM,Lacinia At Incorporated,Julie Owens,Gold,"40 Park Dr, Hornell, NY 14843",Hornell,Northeast,New York,5/15/2011,Vrai,5/17/2011,Telecommunication,006i0000001vtDvAAI,Lacinia At Incorporated vtDvAAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,14843,40176,19.00%,62,800
001i0000008rFxEAAU,123 Warehousing,Tara Wang,Gold,"3270 N Hwy 87, Pine, AZ 85544",Pine,Southwest,Arizona,5/16/2011,Vrai,5/8/2011,Recreation,006i0000001vtDPAAY,123 Warehousing vtDPAAY  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,85544,1944,19.00%,3,800
001i0000008rFxXAAU,Gadgetron,Julie Owens,Gold,"1 Main St, Brockport, NY 14420",Brockport,Northeast,New York,5/17/2011,Vrai,5/15/2011,Distribution,006i0000001vtDnAAI,Gadgetron vtDnAAI  MOL Standard Services,Services,MOL Standard,Closed Won,Vrai,14420,6580,6.00%,10,700
001i0000008rCZ0AAM,Interdum Curabitur Dictum Inc.,Dennis Watson,Gold,"41 N State St, Westerville, OH 43081",Westerville,Midwest,Ohio,5/20/2011,Vrai,5/22/2011,Appliances,006i0000001vtE7AAI,Interdum Curabitur Dictum Inc. vtE7AAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,43081,18000,25.00%,30,800
001i0000008rCZqAAM,Dui Lectus Rutrum Foundation,Dennis Watson,Gold,"441 Catawba Ave, Put-In-Bay, OH 43456",Put-In-Bay,Midwest,Ohio,5/27/2011,Vrai,5/29/2011,Insurance,006i0000001vtEMAAY,Dui Lectus Rutrum Foundation vtEMAAY  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,43456,7200,25.00%,12,800
001i0000008rFkfAAE,Aenean Institute,Dennis Watson,Gold,"1000 Carillon Blvd, Dayton, OH 45409",Dayton,Midwest,Ohio,6/1/2011,Vrai,6/3/2011,Home Furnishing,006i0000001vtEqAAI,Aenean Institute vtEqAAI  MOL Standard Maintenance,Maintenance,MOL Standard,Closed Won,Vrai,45409,823.2,2.00%,7,120
001i0000008rDxMAAU,Id Foundation,Eric Barnes,Gold,"1174 SW Highway 99W, Dundee, OR 97115",Dundee,West,Oregon,6/3/2011,Vrai,6/5/2011,Financial Services,006i0000001vtEyAAI,Id Foundation vtEyAAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,97115,24336,22.00%,39,800
001i0000008rBmiAAE,Nisl Arcu Consulting,Fred Jenkins,Cloud,"475 N. Lake Blvd, Tahoe City, CA 96145",Tahoe City,West,California,6/4/2011,Vrai,5/29/2011,Healthcare,006i0000001vtENAAY,Nisl Arcu Consulting vtENAAY  MOL Mobile Software,Software,MOL Mobile,Closed Won,Vrai,96145,6048,16.00%,8,900
001i0000008rCcWAAU,Multimodous Ventures,Jesse Alexander,Gold,"7700 West Madison, Forest Park, IL 60130",Forest Park,Midwest,Illinois,6/4/2011,Vrai,5/30/2011,Business Services,006i0000001vtETAAY,Multimodous Ventures vtETAAY  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,60130,4560,5.00%,6,800
001i0000008rFQxAAM,Gringotts,Eric Barnes,Gold,"832 NE Beech St, Portland, OR 97227",Portland,West,Oregon,6/4/2011,Vrai,5/28/2011,Business Services,006i0000001vtEGAAY,Gringotts vtEGAAY  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,97227,5824,9.00%,8,800
001i0000008rCcWAAU,Multimodous Ventures,Jesse Alexander,Gold,"7700 West Madison, Forest Park, IL 60130",Forest Park,Midwest,Illinois,6/5/2011,Vrai,5/30/2011,Business Services,006i0000001vtESAAY,Multimodous Ventures vtESAAY  MOL Standard Maintenance,Maintenance,MOL Standard,Closed Won,Vrai,60130,338.4,6.00%,3,120
001i0000008rBnxAAE,Fringilla Porttitor Vulputate Company,Eric Barnes,Gold,"2828 NE Gilsan St, Portland, OR 97232",Portland,West,Oregon,6/5/2011,Vrai,6/7/2011,Entertainment,006i0000001vtF9AAI,Fringilla Porttitor Vulputate Company vtF9AAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,97232,2064,14.00%,3,800
001i0000008rFe5AAE,KMA Power,Eric Barnes,Gold,"57100 Beaver Drive #4 Sunriver Village, Sunriver, OR 97707",Sunriver,West,Oregon,6/5/2011,Vrai,6/3/2011,Telecommunication,006i0000001vtEoAAI,KMA Power vtEoAAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,97707,6952,21.00%,11,800
001i0000008rBlhAAE,Venenatis A Limited,Julie Owens,Gold,"401 Lakeshore Dr, Canandaigua, NY 14424",Canandaigua,Northeast,New York,6/8/2011,Vrai,6/7/2011,Entertainment,006i0000001vtF7AAI,Venenatis A Limited vtF7AAI  MOL Standard Maintenance,Maintenance,MOL Standard,Closed Won,Vrai,14424,552,8.00%,5,120
001i0000008rFe9AAE,Aliquam Erat Volutpat LLP,Kevin Gibson,Gold,"10 Sherman St, Pittsburgh, PA 15209",Pittsburgh,Northeast,Pennsylvania,6/9/2011,Vrai,6/11/2011,Technology,006i0000001vtFLAAY,Aliquam Erat Volutpat LLP vtFLAAY  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,15209,21840,9.00%,30,800
001i0000008rFlFAAU,Egestas Limited,Kevin Gibson,Gold,"650 W Cypress St, Kennett Square, PA 19348",Kennett Square,Northeast,Pennsylvania,6/10/2011,Vrai,6/12/2011,Computer Hardware,006i0000001vtFRAAY,Egestas Limited vtFRAAY  MOL Standard Software,Software,MOL Standard,Closed Lost,Faux,19348,8184,7.00%,11,800
001i0000008rEXSAA2,Duis Cursus Diam Incorporated,Kevin Gibson,Gold,"6 Center Sq, Hanover, PA 17331",Hanover,Northeast,Pennsylvania,6/10/2011,Vrai,6/5/2011,Healthcare,006i0000001vtEwAAI,Duis Cursus Diam Incorporated vtEwAAI  MOL Standard Services,Services,MOL Standard,Closed Won,Vrai,17331,50246,3.00%,74,700
001i0000008rFxWAAU,Vitae Institute,Kevin Gibson,Gold,"208 Old York Rd, Jenkintown, PA 19046",Jenkintown,Northeast,Pennsylvania,6/10/2011,Vrai,6/12/2011,Telecommunication,006i0000001vtFUAAY,Vitae Institute vtFUAAY  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,19046,5504,14.00%,8,800
001i0000008rBp3AAE,Sagittis Semper Nam Institute,David Ward,Gold,"2312 Clifton Ave, Nashville, TN 37209",Nashville,Southeast,Tennessee,6/12/2011,Vrai,6/14/2011,Construction,006i0000001vtFcAAI,Sagittis Semper Nam Institute vtFcAAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,37209,6776,23.00%,11,800
001i0000008rG7iAAE,Pede Consulting,Joe Ford,Gold,"375 Buckwalter Place Blvd, Bluffton, SC 29910",Bluffton,Southeast,South Carolina,6/12/2011,Vrai,6/14/2011,Transportation,006i0000001vtFkAAI,Pede Consulting vtFkAAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,29910,2464,23.00%,4,800
001i0000008rFojAAE,IWS Technology,Jason Stoltz,Gold,"101 Oakwood Loop, San Marcos, TX 78666",San Marcos,Southwest,Texas,6/15/2011,Vrai,6/11/2011,Retail,006i0000001vtFJAAY,IWS Technology vtFJAAY  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,78666,3400,15.00%,5,800
001i0000008rCeAAAU,Lectus Pede Et Associates,Greg Powell,Gold,"2057 N Main St, Montgomery, VT 05470",Montgomery,Northeast,Vermont,6/16/2011,Vrai,6/18/2011,Insurance,006i0000001vtFwAAI,Lectus Pede Et Associates vtFwAAI  MOL Standard Maintenance,Maintenance,MOL Standard,Closed Lost,Faux,5470,206.4,14.00%,2,120
001i0000008rF0LAAU,Enim Consequat Purus LLP,Greg Powell,Gold,"41 Center St, Rutland, VT 05701",Rutland,Northeast,Vermont,6/17/2011,Vrai,6/19/2011,Technology,006i0000001vtG5AAI,Enim Consequat Purus LLP vtG5AAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,5701,11560,15.00%,17,800
001i0000008rFobAAE,Et Malesuada Corporation,Jason Washington,Gold,"155 W Main St, Wardensville, WV 26851",Wardensville,Southeast,West Virginia,6/17/2011,Vrai,6/19/2011,Insurance,006i0000001vtFzAAI,Et Malesuada Corporation vtFzAAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,26851,16896,4.00%,22,800
001i0000008rG0uAAE,Est Ac Facilisis Institute,Eric Barnes,Gold,"407 Aplets Wy, Cashmere, WA 98815",Cashmere,West,Washington,6/17/2011,Vrai,6/19/2011,Insurance,006i0000001vtG7AAI,Est Ac Facilisis Institute vtG7AAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,98815,6048,16.00%,9,800
001i0000008rFuqAAE,Sample Company,Julie Owens,Gold,"411 Route 3, Plattsburgh, NY 12901",Plattsburgh,Northeast,New York,6/19/2011,Vrai,6/19/2011,Business Services,006i0000001vtFyAAI,Sample Company vtFyAAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,12901,3040,5.00%,4,800
001i0000008rBJmAAM,OSN Infotech,Greg Powell,Gold,"10 University Dr, Amherst, MA 01002-2243",Amherst,Northeast,Massachusetts,6/20/2011,Vrai,6/13/2011,Transportation,006i0000001vtFVAAY,OSN Infotech vtFVAAY  MOL Standard Maintenance,Maintenance,MOL Standard,Closed Won,Vrai,1002,470.4,2.00%,4,120
001i0000008rCfdAAE,Tristique Senectus Et LLP,Greg Powell,Gold,"76 Hope St, Greenfield, MA 01301-3573",Greenfield,Northeast,Massachusetts,6/24/2011,Vrai,6/26/2011,Business Services,006i0000001vtGZAAY,Tristique Senectus Et LLP vtGZAAY  MOL Standard Software,Maintenance,MOL Mobile,Closed Won,Vrai,1301,963.6,27.00%,11,120
001i0000008rELYAA2,Aliquet Magna Ltd,Greg Powell,Gold,"345 Cochituate Rd, Framingham, MA 01701-4607",Framingham,Northeast,Massachusetts,6/25/2011,Vrai,6/27/2011,Financial Services,006i0000001vtGdAAI,Aliquet Magna Ltd vtGdAAI  MOL Standard Maintenance,Maintenance,MOL Standard,Closed Won,Vrai,1701,2215.2,29.00%,26,120
001i0000008rELYAA2,Aliquet Magna Ltd,Greg Powell,Gold,"345 Cochituate Rd, Framingham, MA 01701-4607",Framingham,Northeast,Massachusetts,6/25/2011,Vrai,6/27/2011,Financial Services,006i0000001vtGcAAI,Aliquet Magna Ltd vtGcAAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,1701,4536,19.00%,7,800
001i0000008rBqxAAE,Interdum Consulting,Greg Powell,Gold,"100 Washington St, Haverhill, MA 01832-5500",Haverhill,Northeast,Massachusetts,6/25/2011,Vrai,6/27/2011,Insurance,006i0000001vtGiAAI,Interdum Consulting vtGiAAI  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,1832,6512,26.00%,11,800
001i0000008rFobAAE,Et Malesuada Corporation,Jason Washington,Gold,"155 W Main St, Wardensville, WV 26851",Wardensville,Southeast,West Virginia,6/27/2011,Vrai,6/20/2011,Insurance,006i0000001vtGEAAY,Et Malesuada Corporation vtGEAAY  MOL Standard Software,Software,MOL Standard,Closed Won,Vrai,26851,9048,13.00%,13,800
001i0000008rFSaAAM,Cursus A PC,Greg Powell,Gold,"18 Shipyard Dr Ste 1K, Hingham, MA 02043-1670",Hingham,Northeast,Massachusetts,6/28/2011,Vrai,6/30/2011,Nonprofit,006i0000001vtHMAAY,Cursus A PC vtHMAAY  MOL Standard Services,Services,MOL Standard,Closed Lost,Faux,2043,504,28.00%,1,700
001i0000008rBPHAA2,Curabitur Ut Consulting,Greg Powell,Gold,"110 Canal St, Boston, MA 02114-1805",Boston,Northeast,Massachusetts,6/28/2011,Vrai,6/30/2011,Technology,006i0000001vtHlAAI,Curabitur Ut Consulting vtHlAAI  MOL Standard Services,Services,MOL Standard,Closed Lost,Faux,2114,560,20.00%,1,700
001i0000008rEiAAAU,Feugiat Sed Nec Institute,Greg Powell,Gold,"112 Canal St, Boston, MA 02114-1805",Boston,Northeast,Massachusetts,6/28/2011,Vrai,6/30/2011,Insurance,006i0000001vtHeAAI,Feugiat Sed Nec Institute vtHeAAI  MOL Standard Software,Software,MOL Standard,Closed Lost,Faux,2114,12480,22.00%,20,800
001i0000008rEfBAAU,Lacus Etiam Company,Greg Powell,Gold,"203 Cabot St, Lowell, MA 01854-3620",Lowell,Northeast,Massachusetts,6/28/2011,Vrai,6/30/2011,Retail,006i0000001vtHRAAY,Lacus Etiam Company vtHRAAY  MOL Standard Software,Software,MOL Standard,Closed Lost,Faux,1854,768,4.00%,1,800
001i0000008rBPHAA2,Curabitur Ut Consulting,Greg Powell,Gold,"110 Canal St, Boston, MA 02114-1805",Boston,Northeast,Massachusetts,6/28/2011,Vrai,6/30/2011,Technology,006i0000001vtHmAAI,Curabitur Ut Consulting vtHmAAI  MOL Standard Software,Software,MOL Standard,Closed Lost,Faux,2114,11392,11.00%,16,800
001i0000008rGCyAAM,Magna Foundation,Greg Powell,Other,"278 Derby St, Salem, MA 01970-3635",Salem,Northeast,Massachusetts,6/28/2011,Vrai,6/30/2011,Business Services,006i0000001vtHbAAI,Magna Foundation vtHbAAI  MOL Standard Maintenance,Maintenance,MOL Standard,Closed Won,Vrai,1970,1357.2,13.00%,13,120
